num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
43,1444,223,0,6.475336323,18,2,0,0,1
105,2486,373,0,6.664879357,28,2,0,0,0
95,3391,488,0,6.948770492,29,2,0,0,1
98,1705,308,0,5.535714286,12,2,0,0,0
59,1783,261,0,6.831417625,13,2,0,0,1
103,1635,333,0,4.90990991,12,2,0,0,0
28,841,146,0,5.760273973,12,2,0,0,1
568,26324,1703,4,15.45742807,36,2,0,1,0
203,7655,740,3,10.34459459,17,3,0,1,1
352,9649,1620,1,5.95617284,19,4,0,0,0
123,4723,479,5,9.860125261,9,2,0,0,1
45,1388,222,0,6.252252252,1,2,0,0,0
85,3328,295,6,11.28135593,4,2,0,0,1
88,2174,343,4,6.33819242,1,14,0,0,0
18,437,75,0,5.826666667,0,0,0,0,1
135,4129,486,8,8.495884774,2,17,0,1,0
105,2611,352,2,7.417613636,14,2,0,0,1
692,24647,2575,64,9.571650485,32,8,0,0,0
44,1578,149,2,10.59060403,1,11,0,0,1
52,1369,203,2,6.743842365,1,7,0,0,0
27,818,96,1,8.520833333,1,6,0,0,1
152,3913,649,11,6.029275809,4,5,0,3,0
59,2105,201,1,10.47263682,1,17,0,1,1
62,1803,290,0,6.217241379,0,0,0,0,0
50,1505,185,0,8.135135135,1,11,0,0,1
97,2857,378,3,7.558201058,0,0,0,1,0
24,592,61,0,9.704918033,1,2,0,0,1
89,2433,296,0,8.219594595,1,2,0,0,0
68,2131,175,1,12.17714286,3,14,0,0,1
51,1734,247,1,7.020242915,1,4,0,0,0
45,1395,129,0,10.81395349,3,4,0,0,1
46,1184,194,0,6.103092784,0,0,0,1,0
54,1422,137,1,10.37956204,5,2,0,0,1
64,1660,233,0,7.124463519,0,0,0,0,0
241,10167,871,18,11.6727899,12,3,0,1,1
70,2501,447,0,5.5950783,0,0,0,0,0
61,1227,205,2,5.985365854,7,2,0,0,1
132,4362,562,6,7.761565836,0,0,0,0,0
91,2022,300,2,6.74,15,2,0,0,1
36,1187,168,0,7.06547619,0,0,0,0,0
60,1274,193,2,6.601036269,9,2,0,0,1
59,1558,290,0,5.372413793,0,0,0,0,0
159,5799,655,10,8.853435115,9,7,0,1,1
36,1077,181,0,5.950276243,0,0,0,0,0
63,1358,263,0,5.163498099,0,0,0,0,1
32,982,164,0,5.987804878,0,0,0,0,0
223,9317,1016,16,9.170275591,12,13,0,3,1
34,949,165,0,5.751515152,0,0,0,0,0
38,880,99,0,8.888888889,11,0,0,0,1
54,1252,236,0,5.305084746,1,2,0,0,0
42,1247,148,3,8.425675676,3,2,0,0,1
28,993,178,0,5.578651685,1,0,0,0,0
65,2180,267,1,8.164794007,2,11,0,0,1
36,1102,178,0,6.191011236,0,0,0,0,0
46,1047,151,1,6.933774834,2,2,0,0,1
56,1480,221,0,6.696832579,0,0,0,1,0
164,6776,763,12,8.880733945,7,9,0,2,1
40,999,178,0,5.612359551,0,0,0,0,0
63,1262,226,0,5.584070796,7,0,0,0,1
44,1326,186,0,6.765306122,0,0,0,0,0
102,3261,377,12,8.649867374,9,10,0,0,1
29,850,154,0,5.519480519,0,0,0,0,0
41,1039,106,0,9.801886792,12,0,0,0,1
51,1202,217,0,5.539170507,0,0,0,0,0
136,4940,566,14,8.727915194,14,10,0,0,1
25,722,135,0,5.348148148,0,0,0,0,0
160,5298,644,12,8.226708075,4,17,0,1,1
21,710,132,0,5.378787879,0,0,0,0,0
40,1158,122,0,9.491803279,5,2,0,0,1
45,1076,197,0,5.461928934,0,0,0,1,0
39,1453,163,4,8.914110429,4,5,0,0,1
158,4923,627,11,7.851674641,4,12,0,3,0
81,2536,264,2,9.606060606,6,25,0,1,1
24,775,131,0,5.916030534,0,0,0,0,0
24,545,67,0,8.134328358,3,2,0,0,1
48,1520,221,0,6.877828054,0,0,0,0,0
59,2187,242,1,9.037190083,5,2,0,0,1
34,1027,160,0,6.41875,0,0,0,0,0
31,1000,100,0,10.0,5,2,0,0,1
53,1789,273,0,6.553113553,0,0,0,0,0
159,5224,575,0,9.085217391,31,2,0,0,1
101,3883,438,6,8.865296804,2,4,0,0,0
111,4147,486,7,8.532921811,2,41,0,5,1
56,1742,273,0,6.380952381,0,0,0,0,0
156,6135,652,6,9.409509202,6,21,0,1,1
31,937,148,0,6.331081081,0,0,0,0,0
111,3310,486,7,6.810699588,2,41,0,5,1
48,1159,183,0,6.333333333,11,0,0,0,0
93,3376,440,5,7.672727273,4,20,0,1,1
179,8416,564,2,14.92198582,9,2,0,0,0
131,4032,433,2,9.311778291,4,9,0,0,1
44,1536,179,0,8.581005587,1,5,0,0,0
58,2405,250,1,9.62,1,30,0,0,1
28,883,147,0,6.006802721,0,0,0,0,0
212,8959,977,5,9.169907881,10,25,0,2,1
42,1293,215,0,6.013953488,1,2,0,0,0
127,4277,567,7,7.543209877,5,14,0,2,1
33,900,153,0,6.405228758,0,0,0,0,0
20,368,57,0,6.456140351,1,2,0,0,1
44,1615,179,0,9.022346369,1,5,0,0,0
20,398,58,0,6.862068966,1,2,0,0,1
33,1056,151,0,6.993377483,1,2,0,0,0
20,390,56,0,6.964285714,1,2,0,0,1
161,4570,518,12,8.822393822,5,7,0,0,0
20,365,64,0,5.703125,1,2,0,0,1
78,2082,278,7,7.489208633,1,10,0,0,0
70,1952,219,2,8.913242009,7,13,1,0,1
42,1367,173,0,7.901734104,1,4,0,0,0
72,2292,323,1,7.095975232,19,7,0,0,1
83,2655,340,2,7.808823529,2,4,0,0,0
40,1072,158,2,6.784810127,7,2,0,0,1
100,2932,342,8,8.573099415,2,8,0,0,0
62,1779,216,3,8.236111111,5,2,1,0,1
243,6849,845,20,8.105325444,6,29,0,2,0
134,3510,612,12,5.735294118,13,2,0,4,1
50,1597,237,0,6.738396624,2,2,0,0,0
64,2254,320,2,7.04375,19,2,0,0,1
33,929,158,0,5.879746835,0,0,0,0,0
106,4193,618,4,6.784789644,38,2,0,0,1
96,2106,337,4,6.24925816,7,2,0,0,0
48,1997,235,1,8.49787234,15,2,0,0,1
120,2880,510,0,5.647058824,6,2,0,1,0
149,4475,582,8,7.689003436,15,2,1,0,1
145,6175,550,5,11.22727273,2,11,0,2,0
276,9486,995,15,9.533668342,14,7,0,0,1
71,2206,260,7,8.484615385,3,1,0,0,0
12,213,34,0,6.264705882,1,5,0,0,1
81,1849,313,3,5.907348243,4,14,0,1,0
61,1925,207,3,9.299516908,1,26,0,0,1
32,936,172,0,5.441860465,1,0,0,0,0
25,529,82,0,6.451219512,0,0,0,0,1
38,900,150,0,6.0,6,0,0,0,0
284,9987,1029,3,9.705539359,5,11,0,1,1
58,1381,252,0,5.48015873,2,2,0,0,0
210,8054,734,11,10.97275204,2,5,0,1,1
95,2717,488,0,5.567622951,7,0,0,0,0
72,2208,246,0,8.975609756,2,2,0,0,1
156,3304,662,0,4.990936556,17,0,0,0,0
400,15289,1428,6,10.70658263,11,1,0,3,1
24,724,129,0,5.612403101,1,0,0,0,0
561,23373,2364,28,9.887055838,17,90,0,6,1
54,1304,254,0,5.133858268,4,0,0,0,0
137,4803,502,6,9.567729084,4,14,0,1,1
59,1391,271,0,5.132841328,5,0,0,0,0
28,489,88,0,5.556818182,3,2,0,0,1
75,2011,348,0,5.778735632,4,2,0,0,0
102,2541,397,3,6.400503778,9,8,0,0,1
107,2927,406,5,7.209359606,4,2,0,1,0
26,593,76,0,7.802631579,2,1,0,0,1
54,1559,227,0,6.86784141,2,9,0,0,0
69,1777,231,4,7.692640693,2,13,0,1,1
83,2623,336,3,7.806547619,3,3,0,0,0
80,2407,268,0,8.981343284,5,2,0,0,1
270,7227,957,16,7.551724138,10,10,0,1,0
49,1280,159,0,8.050314465,4,4,0,0,1
174,4892,596,13,8.208053691,9,12,0,1,0
31,754,92,0,8.195652174,3,6,0,1,1
336,8956,1166,20,7.680960549,19,5,0,0,0
17,245,47,0,5.212765957,1,2,0,0,1
130,3493,470,4,7.431914894,4,2,0,0,0
11,229,35,0,6.542857143,1,0,0,0,1
224,7041,1214,0,5.799835255,16,0,0,0,0
69,2403,278,1,8.643884892,4,9,0,0,1
525,18661,3205,0,5.822464899,43,0,0,0,0
17,496,68,0,7.294117647,1,0,0,0,1
39,939,177,1,5.305084746,1,5,0,0,0
150,4818,629,4,7.659777424,7,2,0,0,1
789,22978,2682,72,8.56748695,24,44,0,9,0
278,9052,1036,8,8.737451737,17,4,0,2,1
85,2395,324,4,7.391975309,3,1,0,1,0
60,2136,240,1,8.9,3,3,0,0,1
94,2540,377,5,6.737400531,3,1,0,2,0
87,2664,308,4,8.649350649,3,11,0,0,1
39,935,177,1,5.282485876,1,5,0,0,0
198,6927,761,5,9.102496715,8,7,0,1,1
685,21727,2276,99,9.546133568,44,10,0,6,0
69,2471,281,2,8.793594306,1,31,0,1,1
108,3053,429,2,7.116550117,4,2,0,0,0
142,4660,524,4,8.893129771,6,10,0,0,1
58,1371,217,0,6.31797235,3,1,0,0,0
57,1788,195,0,9.169230769,4,4,0,0,1
161,4786,590,11,8.111864407,5,12,0,1,0
114,3614,407,0,8.87960688,8,11,0,0,1
48,1262,188,0,6.712765957,3,1,0,1,0
123,3696,427,0,8.655737705,9,10,0,0,1
98,2870,487,4,5.893223819,4,12,0,1,0
35,1014,166,0,6.108433735,11,2,0,0,1
91,3237,333,1,9.720720721,5,17,0,1,0
98,3159,353,1,8.949008499,6,2,0,1,1
96,3588,407,2,8.815724816,5,8,0,0,0
103,3341,381,1,8.769028871,6,2,0,1,1
117,4751,542,3,8.765682657,5,9,0,0,0
152,6693,640,5,10.4578125,6,17,0,0,1
95,3331,359,1,9.278551532,5,22,0,0,0
119,3909,424,3,9.219339623,6,12,0,1,1
26,540,75,0,7.2,1,8,0,0,0
28,858,114,0,7.526315789,1,9,0,0,1
153,6201,693,4,8.948051948,6,8,0,0,0
142,6019,596,4,10.09899329,6,9,0,0,1
115,4561,468,1,9.745726496,5,8,0,2,0
124,4254,473,1,8.993657505,6,9,0,2,1
72,2672,305,2,8.760655738,3,18,0,0,0
77,2392,281,2,8.512455516,5,2,0,0,1
113,5071,425,5,11.93176471,7,4,0,0,0
77,3352,275,5,12.18909091,7,3,0,0,1
84,3419,332,1,10.29819277,8,4,0,0,0
66,2480,235,1,10.55319149,8,3,0,0,1
126,5180,453,7,11.43487859,7,16,0,0,0
88,3295,302,4,10.91059603,6,15,0,0,1
156,6301,591,10,10.66159052,6,12,0,1,0
102,3816,328,11,11.63414634,6,10,0,1,1
84,3243,279,2,11.62365591,6,13,0,1,0
66,2331,210,2,11.1,6,9,0,1,1
98,3295,365,3,9.02739726,7,13,0,1,0
70,2112,227,3,9.303964758,7,6,0,0,1
163,3917,562,0,6.96975089,23,2,0,0,0
77,2437,300,0,8.123333333,1,2,0,0,1
100,2611,331,0,7.888217523,13,2,0,0,0
54,1584,171,0,9.263157895,1,2,0,0,1
199,4902,680,0,7.208823529,25,2,0,0,0
101,3448,392,0,8.795918367,1,2,0,0,1
65,1265,210,0,6.023809524,9,2,0,0,0
40,1340,183,0,7.322404372,9,2,0,0,1
51,1418,167,0,8.491017964,5,2,0,0,0
68,1940,219,0,8.858447489,1,2,0,0,1
22,457,76,0,6.013157895,1,2,0,0,0
32,646,101,2,6.396039604,2,8,0,1,1
196,4735,642,0,7.375389408,27,2,0,0,0
90,4365,433,0,10.08083141,5,4,0,0,1
37,1032,143,0,7.216783217,3,2,0,0,0
11,233,29,0,8.034482759,0,0,0,0,1
54,2072,197,1,10.5177665,3,15,0,0,0
9,165,21,0,7.857142857,0,0,0,0,1
64,1270,209,0,6.076555024,11,2,0,0,0
7,128,14,0,9.142857143,0,0,0,0,1
54,1865,206,5,9.053398058,2,10,0,2,0
10,196,25,0,7.84,0,0,0,0,1
115,4824,472,0,10.22033898,9,3,0,1,0
27,497,497,0,8.423728814,0,0,0,0,1
40,1130,132,0,8.560606061,0,0,0,0,0
35,635,88,0,7.215909091,0,0,0,0,1
62,1629,205,0,7.946341463,7,2,0,0,0
126,4228,386,1,10.95336788,10,3,0,0,1
31,865,91,0,9.505494505,0,0,0,0,0
100,3248,414,4,7.845410628,7,3,0,0,1
20,457,63,0,7.253968254,0,0,0,0,0
23,542,96,0,5.645833333,5,2,0,0,1
14,421,42,0,10.02380952,0,0,0,0,0
18,452,67,0,6.746268657,4,2,0,0,1
30,702,98,0,7.163265306,0,0,0,0,0
52,1593,199,0,8.005025126,5,2,0,0,1
90,4365,433,0,10.08083141,5,4,0,0,0
84,2226,313,2,7.111821086,8,7,0,1,1
53,2516,145,3,17.35172414,1,20,0,0,0
80,2984,239,4,12.48535565,4,9,0,0,1
35,1621,98,0,16.54081633,1,8,0,0,0
51,1925,148,0,13.00675676,2,5,0,0,1
37,1666,101,0,16.4950495,1,8,0,0,0
51,1971,158,0,12.47468354,2,5,0,0,1
39,1030,153,0,6.732026144,1,2,0,0,0
37,1167,188,0,6.207446809,13,2,0,0,1
50,1729,280,0,6.175,0,0,0,0,0
84,2438,302,4,8.072847682,6,7,0,0,1
18,566,74,0,7.648648649,0,0,0,0,0
35,978,187,0,5.229946524,11,2,0,0,1
121,6639,469,0,14.15565032,4,8,0,0,0
119,3099,451,7,6.871396896,7,9,0,1,1
30,930,113,0,8.230088496,2,2,0,0,0
40,1202,120,2,10.01666667,2,5,0,0,1
36,907,125,0,7.256,1,14,0,2,0
173,5663,681,9,8.315712188,21,2,2,1,1
62,1306,229,5,5.703056769,1,35,0,4,0
34,510,100,2,5.1,4,2,0,0,1
47,1145,179,1,6.396648045,1,23,0,4,0
22,343,64,0,5.359375,3,2,0,0,1
45,1285,200,4,6.425,1,26,1,1,0
54,1129,192,2,5.880208333,3,6,0,0,1
51,1054,178,1,5.921348315,1,35,1,2,0
113,3087,457,4,6.754923414,7,4,0,2,1
35,885,136,1,6.507352941,1,20,0,2,0
40,734,120,0,6.116666667,0,0,0,0,1
61,1090,210,3,5.19047619,1,29,0,2,0
20,303,59,0,5.13559322,2,2,0,0,1
53,1954,131,0,14.91603053,4,4,0,0,0
67,1394,267,5,5.220973783,8,4,0,0,1
29,631,83,0,7.602409639,4,3,0,0,0
56,1332,152,2,8.763157895,2,13,0,0,1
28,1012,81,0,12.49382716,3,1,0,0,0
132,3551,400,2,8.8775,7,6,0,0,1
80,3283,208,0,15.78365385,5,4,0,0,0
53,1669,165,1,10.11515152,3,8,0,0,1
46,1267,111,0,11.41441441,1,6,0,0,0
54,1458,174,0,8.379310345,2,16,0,0,1
212,6324,774,4,8.170542636,6,8,0,3,0
24,623,58,0,10.74137931,1,7,0,0,1
