num_lines,num_chars,num_tokens,num_IfStmt,avgTokenLength,numMethods,avgMethodLength,numSwitchStmt,numOfLoops,is_ai_generated
45,1171,153,0,7.653594771,4,4,0,1,1
36,1042,155,0,6.722580645,1,0,0,0,1
70,2202,234,1,9.41025641,3,5,0,1,0
1110,38816,3965,101,9.789659521,66,54,5,21,0
51,1508,237,0,6.362869198,1,13,0,0,1
76,1965,198,1,9.924242424,2,7,0,0,0
31,409,71,0,5.76056338,1,2,0,0,1
173,5645,628,12,8.988853503,11,36,0,5,1
45,1198,151,0,7.933774834,3,2,0,0,1
60,1546,164,0,9.426829268,4,2,0,0,0
123,4160,784,3,5.306122449,3,10,0,3,0
326,15672,1596,46,9.819548872,43,19,5,2,1
85,2966,236,0,12.56779661,6,3,0,0,0
22,858,170,0,5.047058824,0,0,0,0,0
336,8956,1166,20,7.680960549,19,5,0,0,0
48,1219,244,5,4.995901639,1,24,0,5,1
56,1004,180,0,5.577777778,4,2,0,0,1
33,1070,86,0,12.44186047,1,6,0,0,0
51,1692,264,4,6.409090909,4,11,0,0,0
199,4902,680,0,7.208823529,25,2,0,0,0
12,199,34,0,5.852941176,0,0,0,0,0
177,5271,711,18,7.41350211,1,69,0,2,0
149,4030,481,5,8.378378378,4,2,0,0,0
34,819,103,0,7.951456311,3,1,0,1,1
121,3475,371,0,9.366576819,9,32,0,0,0
119,3269,478,0,6.838912134,5,42,0,2,1
288,7371,927,11,7.951456311,15,17,0,4,0
78,1512,278,0,5.438848921,6,2,0,0,0
12,205,28,0,7.321428571,3,0,0,0,0
124,2689,428,0,6.28271028,21,2,0,0,1
78,1893,230,0,8.230434783,7,7,0,0,0
23,450,68,0,6.617647059,3,2,0,0,1
562,21677,2210,5,9.808597285,12,10,0,15,0
73,1800,189,1,9.523809524,2,7,0,0,0
71,2061,343,4,6.008746356,1,13,0,0,0
50,1072,160,0,6.7,1,6,0,0,0
235,4103,663,15,6.188536953,25,3,0,0,0
151,4360,524,6,8.320610687,6,21,0,2,1
18,355,65,0,5.461538462,0,0,0,0,0
68,2131,175,1,12.17714286,3,14,0,0,1
58,1135,209,0,5.43062201,2,8,1,0,0
